Id_AsignacionHardwareEquipo;Id_EquipoTrabajo_FK;Id_Hardware_FK
193;21;1
194;21;6
195;21;8
196;21;12
197;21;14
198;21;16
199;21;17
200;21;22
201;21;25
202;22;2
203;22;7
204;22;9
205;22;13
206;22;15
207;22;16
208;22;18
209;22;22
210;22;25
211;23;3
212;23;7
213;23;10
214;23;13
215;23;15
216;23;16
217;23;19
218;23;22
219;23;23
220;23;24
221;23;25
222;24;1
223;24;6
224;24;8
225;24;12
226;24;14
227;24;16
228;24;17
229;24;22
230;24;25
231;25;2
232;25;7
233;25;9
234;25;13
235;25;15
236;25;16
237;25;18
238;25;22
239;25;25
240;26;3
241;26;7
242;26;10
243;26;13
244;26;15
245;26;16
246;26;19
247;26;22
248;26;23
249;26;24
250;26;25
251;27;1
252;27;6
253;27;8
254;27;12
255;27;14
256;27;16
257;27;17
258;27;22
259;27;25
260;28;2
261;28;7
262;28;9
263;28;13
264;28;15
265;28;16
266;28;18
267;28;22
268;28;25
269;29;3
270;29;7
271;29;10
272;29;13
273;29;15
274;29;16
275;29;19
276;29;22
277;29;23
278;29;24
279;29;25
280;30;1
281;30;6
282;30;8
283;30;12
284;30;14
285;30;16
286;30;17
287;30;22
288;30;25
289;31;2
290;31;7
291;31;9
292;31;13
293;31;15
294;31;16
295;31;18
296;31;22
297;31;25
298;32;3
299;32;7
300;32;10
301;32;13
302;32;15
303;32;16
304;32;19
305;32;22
306;32;23
307;32;24
308;32;25
