Id_AsignacionSoftwareEquipo;Id_EquipoTrabajo_FK;Id_Software_FK
133;21;1
134;21;2
135;21;3
136;21;4
137;21;6
138;21;7
139;22;1
140;22;2
141;22;3
142;22;4
143;22;5
144;22;6
145;23;7
146;23;1
147;23;2
148;23;3
149;23;4
150;23;5
151;23;6
152;23;7
153;24;1
154;24;2
155;24;3
156;24;4
157;24;6
158;24;7
159;25;1
160;25;2
161;25;3
162;25;4
163;25;5
164;25;6
165;26;7
166;26;1
167;26;2
168;26;3
169;26;4
170;26;5
171;26;6
172;26;7
173;27;1
174;27;2
175;27;3
176;27;4
177;27;6
178;27;7
179;28;1
180;28;2
181;28;3
182;28;4
183;28;5
184;28;6
185;29;7
186;29;1
187;29;2
188;29;3
189;29;4
190;29;5
191;29;6
192;29;7
193;30;1
194;30;2
195;30;3
196;30;4
197;30;6
198;30;7
199;31;1
200;31;2
201;31;3
202;31;4
203;31;5
204;31;6
205;32;7
206;32;1
207;32;2
208;32;3
209;32;4
210;32;5
211;32;6
212;32;7
